* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.100000
Type of network used: CustomNetwork
Input Nodes: 196, Hidden Nodes: 25, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.10077778 0.098 0.106
2 Performance: 0.10077778 0.098 0.106
3 Performance: 0.10077778 0.098 0.106
4 Performance: 0.10077778 0.098 0.106
5 Performance: 0.10077778 0.098 0.106
6 Performance: 0.10077778 0.098 0.106
7 Performance: 0.10077778 0.098 0.106
8 Performance: 0.10077778 0.098 0.106
9 Performance: 0.09922222 0.105 0.096
10 Performance: 0.09922222 0.105 0.096
11 Performance: 0.09922222 0.105 0.096
12 Performance: 0.09922222 0.105 0.096
13 Performance: 0.09922222 0.105 0.096
14 Performance: 0.09922222 0.105 0.096
15 Performance: 0.09922222 0.105 0.096
16 Performance: 0.09922222 0.105 0.096
17 Performance: 0.09922222 0.105 0.096
18 Performance: 0.09922222 0.105 0.096
19 Performance: 0.09922222 0.105 0.096
20 Performance: 0.09922222 0.105 0.096
21 Performance: 0.09922222 0.105 0.096
22 Performance: 0.09922222 0.105 0.096
23 Performance: 0.09922222 0.105 0.096
24 Performance: 0.09922222 0.105 0.096
25 Performance: 0.09922222 0.105 0.096
26 Performance: 0.09922222 0.105 0.096
27 Performance: 0.09922222 0.105 0.096
28 Performance: 0.09922222 0.105 0.096
29 Performance: 0.09922222 0.105 0.096
30 Performance: 0.09922222 0.105 0.096
31 Performance: 0.09922222 0.105 0.096
32 Performance: 0.09922222 0.105 0.096
33 Performance: 0.09922222 0.105 0.096
34 Performance: 0.21155556 0.194 0.212
35 Performance: 0.21255556 0.195 0.212
36 Performance: 0.25966667 0.235 0.263
37 Performance: 0.31066667 0.287 0.331
38 Performance: 0.32888889 0.301 0.356
39 Performance: 0.36655556 0.335 0.376
40 Performance: 0.43644444 0.397 0.459
41 Performance: 0.63166667 0.585 0.666
42 Performance: 0.71844444 0.690 0.741
43 Performance: 0.78544444 0.759 0.809
44 Performance: 0.82644444 0.800 0.856
45 Performance: 0.84811111 0.825 0.873
46 Performance: 0.86122222 0.838 0.887
47 Performance: 0.87133333 0.848 0.897
48 Performance: 0.88200000 0.860 0.904
49 Performance: 0.88966667 0.869 0.910
50 Performance: 0.89433333 0.870 0.914
51 Performance: 0.89811111 0.870 0.918
52 Performance: 0.90122222 0.869 0.923
53 Performance: 0.90466667 0.870 0.923
54 Performance: 0.90622222 0.874 0.925
55 Performance: 0.90766667 0.875 0.927
56 Performance: 0.90977778 0.878 0.927
57 Performance: 0.91177778 0.881 0.928
58 Performance: 0.91400000 0.883 0.928
59 Performance: 0.91533333 0.883 0.928
60 Performance: 0.91677778 0.885 0.928
61 Performance: 0.91811111 0.890 0.928
62 Performance: 0.91922222 0.891 0.928
63 Performance: 0.92088889 0.894 0.931
64 Performance: 0.92122222 0.895 0.930
65 Performance: 0.92066667 0.894 0.930
66 Performance: 0.92066667 0.892 0.929
67 Performance: 0.92100000 0.890 0.928
68 Performance: 0.92022222 0.892 0.928
69 Performance: 0.92011111 0.892 0.929
70 Performance: 0.92111111 0.893 0.928
71 Performance: 0.92266667 0.895 0.930
72 Performance: 0.92366667 0.897 0.930
73 Performance: 0.92377778 0.897 0.927
74 Performance: 0.92444444 0.899 0.928
75 Performance: 0.92522222 0.897 0.929
76 Performance: 0.92577778 0.896 0.928
77 Performance: 0.92644444 0.898 0.929
78 Performance: 0.92722222 0.899 0.929
79 Performance: 0.92700000 0.900 0.928
80 Performance: 0.92677778 0.900 0.928
81 Performance: 0.92711111 0.900 0.929
82 Performance: 0.92744444 0.898 0.930
83 Performance: 0.92744444 0.898 0.929
84 Performance: 0.92711111 0.898 0.929
85 Performance: 0.92733333 0.898 0.928
86 Performance: 0.92744444 0.897 0.928
87 Performance: 0.92766667 0.898 0.928
88 Performance: 0.92844444 0.900 0.928
89 Performance: 0.92888889 0.902 0.928
90 Performance: 0.92988889 0.902 0.928
91 Performance: 0.93022222 0.902 0.929
92 Performance: 0.93044444 0.902 0.929
93 Performance: 0.93111111 0.899 0.929
94 Performance: 0.93166667 0.899 0.930
95 Performance: 0.93288889 0.898 0.929
96 Performance: 0.93366667 0.898 0.930
97 Performance: 0.93444444 0.899 0.929
98 Performance: 0.93511111 0.900 0.928
99 Performance: 0.93544444 0.901 0.928
100 Performance: 0.93566667 0.902 0.927
